index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
57,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.87,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
58,0.98,0.51,0.98,0.68,0.88,0.89,0.91,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
59,0.98,0.51,0.98,0.68,0.88,0.89,0.9,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
60,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
61,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
62,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
63,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
64,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
65,0.98,0.51,0.98,0.68,0.88,0.89,0.68,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.88,0
66,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
67,0.98,0.51,0.98,0.68,0.88,0.89,0.86,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
68,0.98,0.51,0.98,0.68,0.88,0.89,0.9,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
69,0.98,0.51,0.98,0.68,0.88,0.89,0.79,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
70,0.98,0.51,0.98,0.68,0.88,0.89,0.71,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.82,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
71,0.98,0.51,0.98,0.68,0.88,0.89,0.86,0,0.1,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.83,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
72,0.98,0.51,0.98,0.68,0.88,0.89,0.7,0,0.09,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.83,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
73,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.83,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
74,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.89,0,0.89,0.93,0,0.93,0.83,0,0.89,1,1,0,0,0,0,0,0,0.9,0.89,0
